Date,Close,High,Low,Open,Volume
01-01-2015,1006.856506,1015.340733,1005.056799,1015.340733,366830
02-01-2015,1020.265137,1024.8138,1008.853983,1009.012159,925740
05-01-2015,1004.760376,1028.354061,998.5899754,1020.878469,1754242
06-01-2015,967.7182617,1000.349977,965.1076859,1000.349977,2423784
07-01-2015,956.2872925,980.5929585,952.2330488,976.973843,2636332
08-01-2015,966.6105347,968.6673018,957.4143261,966.0567265,1565408
09-01-2015,993.7049561,996.7109712,969.0630478,971.0407275,3197642
12-01-2015,992.6765747,999.9149021,981.0280601,995.5640065,1596006
13-01-2015,988.0090942,1000.864011,980.9686324,996.7504763,1468432
14-01-2015,997.5220337,1001.418102,989.0378055,995.1686137,1787096
15-01-2015,1004.30542,1021.17499,998.0361362,1001.892612,5009920
16-01-2015,1001.556458,1006.639134,982.6301176,1006.124918,5293830
19-01-2015,993.1907349,1009.012172,990.0264474,1003.079133,1135074
20-01-2015,989.0176392,1000.705743,982.2144416,996.7503847,2058566
21-01-2015,994.2983398,997.5417155,984.1923765,997.5417155,2310480
22-01-2015,994.199585,997.245193,987.0601405,995.3663969,2113214
23-01-2015,990.2636108,1001.516587,987.2970919,994.3771451,3150380
27-01-2015,991.6309204,996.7633405,986.6768283,995.7131117,2738736
28-01-2015,1006.512756,1008.613213,991.9674684,992.0071398,3121980
29-01-2015,1008.514404,1018.046097,995.9310103,1005.878866,3734392
30-01-2015,983.7041626,1020.542765,978.9283994,1014.875265,5817402
02-02-2015,996.4465332,999.3199074,975.7780938,983.6848077,3181802
03-02-2015,1013.904602,1016.579812,993.6324936,995.4357059,2345054
04-02-2015,996.486084,1019.23524,991.6509087,1017.768848,2245418
05-02-2015,1011.585876,1027.16156,998.3485818,998.7449092,4530168
06-02-2015,1020.84021,1028.390266,1010.971697,1011.823762,2136416
09-02-2015,995.9312134,1018.204894,990.818628,1015.192766,2076432
10-02-2015,967.4945068,1001.222004,964.2644775,994.7816846,3799054
11-02-2015,974.9255371,985.765128,969.9120352,973.0034077,2937522
12-02-2015,975.8175659,982.8128033,969.8132439,982.8128033,3107980
13-02-2015,1006.176208,1009.743155,975.0645069,978.9286992,4158326
16-02-2015,1024.426758,1028.469277,1012.616186,1014.597822,2364392
18-02-2015,1044.580444,1047.49349,1016.67903,1024.526333,2660014
19-02-2015,1062.573364,1065.05041,1044.322472,1044.718799,2618002
20-02-2015,1060.393433,1069.608042,1047.195715,1069.608042,1801588
23-02-2015,1068.756592,1078.803533,1058.590829,1058.590829,1614892
